Description,Designator,Footprint,K3 No.,Value,Quantity
"IC,Translator,2-bit bidirectional low voltage,TSSOP8","U5, U15","SOP-0.65P-3*4.9-8","1.1.1.01.05.170","GTL2002DP","2"
"IC FPD-Link III,CSI-2,WQFN64","U6","QFN-0.5P-9*9-64-EPAD","1.1.1.01.05.299","DS90UB940-Q1","1"
"IC,CAN Tranceiver,High-speed/Standby mode,SO8","U7","SOIC-1.27P-6*5-8","1.1.1.01.05.255","TCAN1042DRQ1","1"
"IC,RTC,±5*10E-6,QFN10/with Temperature Compensation","U8","QFN-0.7P-3.2*2.5-10","1.1.1.01.05.208A","INS5609","1"
"MPQ20051DQ-AEC1","U9, U1902","QFN-0.65P-3.0*3.0-8","","MPQ20051DQ-AEC1","2"
"IC,LEVEL SHIFTER/BUFFER,SOT-353","U11, U12, U13, U14, U19, U20","SOT-0.65P-2*2.1-5","1.1.1.01.05.261","NLVVHC1GT126DF1G","6"
"","U16","QFN-0.65P-3.0*3.0-8","","","1"
"IC,EEPROM,(2-wire) Serial EEPROM(I2C-bus),4Kbit,SOIC8","U22","SOIC-1.27P-6*5-8","1.1.1.01.05.307","BR24G16FJ-3GTE2","1"
"ROCKCHIP SOC","U1000","BGA418_14R00X14R00X1R24","","","1"
"","U1900, U1901","FBGA96_14R00X11R00X1R20","","","2"
"","U2100","QFN68_7R00X7R00X0R80_T","","","1"
"IC MEM NAND FLASH 8GB 2.7-3.6V EMMC 1.7-1.95V AEC-Q100 FBGA153","U4100","FBGA153_0P5_11P5X13","1.1.1.01.05.404","KLM8G1GEUF-B04Q057","1"
"CON,32P,2R,TE BLUE,TE BLUE-32","X1","CONN-TE BLUE-2137614-2-32","1.1.1.02.14.059","966658-2 /2137614-2","1"
"XTD Logo","XTD","XTD-LOGO","","","1"
"XTAL,24MHz, ±10PPM,3.2*2.5","Y1","XTALC-3.2*2.5-4","1.1.1.01.08.017","24MHz","1"
"XTAL,25MHz, ±10PPM,3.2*2.5","Y2","XTALC-3.2*2.5-4","1.1.1.01.08.029","25MHz","1"
"无源晶振，24M，3225,±10ppm，8pF，Hosonic","Y1100","CRY4_3R20X2R50X0R80","","","1"
"XTAL,32.768KHz,±10PPM,3.2*1.5*0.8","Y2100","XTALC-3.2*1.5-2","1.1.1.01.08.022","32.768KHz","1"
"TVS,27V,225mW,2,SOT-23","Z1, Z2","SOT-0.95P-2.9*2.4-3-L","1.1.1.01.03.015","MMBZ27VCLT1G","2"
